City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
6,Hilo,US,89.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
8,Kasrawad,IN,83.91,clear sky,22.1333,75.6,Hotel Aashray
9,Sibolga,ID,77.4,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
10,Atuona,PF,77.54,clear sky,-9.8,-139.0333,Villa Enata
13,Cayenne,GF,75.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
14,Banda Aceh,ID,81.0,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
15,Victoria,HK,80.96,scattered clouds,22.2855,114.1577,Mini Central
17,Forrest City,US,83.88,clear sky,35.0081,-90.7898,Hampton Inn Forrest City
27,Bambanglipuro,ID,77.23,overcast clouds,-7.95,110.2833,Puri Brata
29,Faanui,PF,80.37,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
32,Hobyo,SO,78.98,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
36,Ormara,PK,81.46,clear sky,25.2088,64.6357,Kenara Colony house for Rent
55,Marihatag,PH,82.22,overcast clouds,8.7936,126.2969,Mariner's Place & Resort
62,Kapaa,US,80.92,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Korhogo,CI,77.22,scattered clouds,9.45,-5.6333,Hôtel Tchinbota
66,Butaritari,KI,81.12,broken clouds,3.0707,172.7902,Isles Sunset Lodge
80,Ratnagiri,IN,78.19,overcast clouds,16.9833,73.3,Hotel Landmark
83,Half Moon Bay,US,79.25,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
85,Port Hedland,AU,75.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
87,Isangel,VU,79.97,broken clouds,-19.55,169.2667,Tanna Lodge
88,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
89,Pangai,TO,78.3,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
91,Kapit,MY,75.94,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
94,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
95,Kavaratti,IN,82.36,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
97,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
99,Kavieng,PG,83.55,light rain,-2.5744,150.7967,Nusa Island Retreat
103,Tautira,PF,79.12,light rain,-17.7333,-149.15,Pension Oaoa
