City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Benghazi,LY,32.1167,20.0667,65.03,66,0,10.2,clear sky
1,Severo-Kurilsk,RU,50.6789,156.125,43.57,86,100,10.67,overcast clouds
2,Bloemhof,ZA,-27.6469,25.607,49.24,80,96,10.51,light rain
3,Codrington,AU,-38.2667,141.9667,51.98,73,7,7.38,clear sky
4,Port Elizabeth,ZA,-33.918,25.5701,56.32,99,100,6.91,light rain
5,Punta Arenas,CL,-53.15,-70.9167,42.91,93,100,6.91,overcast clouds
6,Hilo,US,19.7297,-155.09,89.28,77,75,13.8,broken clouds
7,Port Alfred,ZA,-33.5906,26.891,61.74,68,100,3.8,overcast clouds
8,Kasrawad,IN,22.1333,75.6,83.91,58,0,18.48,clear sky
9,Sibolga,ID,1.7427,98.7792,77.4,88,81,2.48,broken clouds
10,Atuona,PF,-9.8,-139.0333,77.54,66,0,9.35,clear sky
11,Busselton,AU,-33.65,115.3333,56.75,75,2,9.06,clear sky
12,Yar-Sale,RU,66.8333,70.8333,32.63,90,100,18.9,light snow
13,Cayenne,GF,4.9333,-52.3333,75.09,1,20,0.0,few clouds
14,Banda Aceh,ID,5.5577,95.3222,81.0,80,100,10.63,overcast clouds
15,Victoria,HK,22.2855,114.1577,80.96,79,36,3.0,scattered clouds
16,Albany,US,42.6001,-73.9662,71.89,74,94,1.01,overcast clouds
17,Forrest City,US,35.0081,-90.7898,83.88,55,0,15.66,clear sky
18,Cherskiy,RU,68.75,161.3,55.53,41,10,14.47,clear sky
19,Vardo,NO,70.3705,31.1107,35.58,80,100,21.85,overcast clouds
20,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,39,10.92,light rain
21,Bethel,US,41.3712,-73.414,65.17,89,100,5.75,overcast clouds
22,Chuy,UY,-33.6971,-53.4616,50.27,81,36,6.51,scattered clouds
23,Westport,US,41.1415,-73.3579,66.43,96,75,1.99,broken clouds
24,Mataura,NZ,-46.1927,168.8643,46.47,90,98,14.5,light rain
25,Barrow,US,71.2906,-156.7887,32.02,93,100,12.66,overcast clouds
26,Hermanus,ZA,-34.4187,19.2345,57.79,71,73,4.47,broken clouds
27,Bambanglipuro,ID,-7.95,110.2833,77.23,89,100,2.06,overcast clouds
28,Rikitea,PF,-23.1203,-134.9692,73.89,78,78,7.85,light rain
29,Faanui,PF,-16.4833,-151.75,80.37,70,17,6.85,light rain
30,Sicuani,PE,-14.2694,-71.2261,46.27,47,78,3.8,broken clouds
31,Jamestown,US,42.097,-79.2353,74.79,83,0,12.66,clear sky
32,Hobyo,SO,5.3505,48.5268,78.98,85,91,25.19,overcast clouds
33,Ponta Do Sol,PT,32.6667,-17.1,66.83,82,37,2.1,scattered clouds
34,Chokurdakh,RU,70.6333,147.9167,34.2,100,98,5.5,overcast clouds
35,Kaoma,ZM,-14.7833,24.8,59.65,57,12,2.84,few clouds
36,Ormara,PK,25.2088,64.6357,81.46,93,7,13.15,clear sky
37,Torbay,CA,47.6666,-52.7314,46.76,76,100,5.08,overcast clouds
38,Ushuaia,AR,-54.8,-68.3,42.46,81,75,2.3,broken clouds
39,Yellowknife,CA,62.456,-114.3525,53.51,29,73,11.68,broken clouds
40,Hobart,AU,-42.8794,147.3294,48.25,94,75,12.66,broken clouds
41,Norman Wells,CA,65.282,-126.8329,56.84,49,97,13.33,light rain
42,New Norfolk,AU,-42.7826,147.0587,47.91,86,11,2.01,few clouds
43,Esperance,AU,-33.8667,121.9,62.94,68,63,5.64,broken clouds
44,Tasiilaq,GL,65.6145,-37.6368,35.76,73,13,4.0,few clouds
45,Airai,TL,-8.9266,125.4092,67.89,60,61,4.85,broken clouds
46,Mar Del Plata,AR,-38.0023,-57.5575,55.94,72,0,10.36,clear sky
47,Alice Springs,AU,-23.7,133.8833,54.95,67,26,0.0,scattered clouds
48,Kaitangata,NZ,-46.2817,169.8464,46.31,80,80,21.65,broken clouds
49,Margate,GB,51.3813,1.3862,52.88,89,34,3.0,scattered clouds
50,Mawlaik,MM,23.6333,94.4167,74.91,95,62,1.03,broken clouds
51,Nanortalik,GL,60.1432,-45.2371,37.26,84,22,4.83,few clouds
52,Pevek,RU,69.7008,170.3133,33.37,97,80,4.27,broken clouds
53,Te Anau,NZ,-45.4167,167.7167,45.63,81,100,5.97,overcast clouds
54,Charlestown,AU,-32.95,151.6667,62.11,95,73,1.01,moderate rain
55,Marihatag,PH,8.7936,126.2969,82.22,77,99,4.29,overcast clouds
56,Tuktoyaktuk,CA,69.4541,-133.0374,33.69,94,98,4.5,overcast clouds
57,Cidreira,BR,-30.1811,-50.2056,55.35,80,0,3.98,clear sky
58,Warmbad,NA,-28.45,18.7333,44.65,81,6,14.25,clear sky
59,Cooma,AU,-36.2333,149.1333,46.17,100,40,1.14,scattered clouds
60,Seda,LV,57.65,25.75,45.05,96,100,12.46,overcast clouds
61,Saint George,US,37.1041,-113.5841,73.99,12,0,14.97,clear sky
62,Kapaa,US,22.0752,-159.319,80.92,80,20,13.8,few clouds
63,Korhogo,CI,9.45,-5.6333,77.22,76,39,8.72,scattered clouds
64,Kushiro,JP,42.975,144.3747,56.71,75,6,5.95,clear sky
65,Rocha,UY,-34.4833,-54.3333,47.84,86,26,5.79,scattered clouds
66,Butaritari,KI,3.0707,172.7902,81.12,73,58,15.73,broken clouds
67,Kingaroy,AU,-26.5333,151.8333,57.24,100,100,5.75,moderate rain
68,Bluff,NZ,-46.6,168.3333,46.8,78,99,34.67,overcast clouds
