City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vestmannaeyjar,IS,2022-05-16 May:35:50,63.4427,-20.2734,282.66,77,42,9.22
1,Chokurdakh,RU,2022-05-16 May:34:34,70.6333,147.9167,271.62,93,89,2.62
2,Yellowknife,CA,2022-05-16 May:34:25,62.456,-114.3525,285.44,37,75,5.66
3,Hermanus,ZA,2022-05-16 May:35:37,-34.4187,19.2345,292.48,46,90,1.19
4,Sept-Iles,CA,2022-05-16 May:37:39,50.2001,-66.3821,278.74,94,100,4.63
5,Mardin,TR,2022-05-16 May:41:16,37.3131,40.7436,287.32,54,75,2.37
6,Hobart,AU,2022-05-16 May:32:55,-42.8794,147.3294,283.83,74,75,5.66
7,Ponta Do Sol,PT,2022-05-16 May:37:08,32.6667,-17.1,293.55,80,20,2.42
8,Toora-Khem,RU,2022-05-16 May:41:16,52.4675,96.11,285.44,78,98,0.99
9,Scarborough,GB,2022-05-16 May:37:33,54.2797,-0.4044,287.22,91,71,0.89
10,Varzob,TJ,2022-05-16 May:41:17,38.7737,68.8178,287.0,57,14,3.54
11,Fairlie,GB,2022-05-16 May:41:18,55.756,-4.8556,284.94,93,98,4.76
12,Punta Arenas,CL,2022-05-16 May:33:57,-53.15,-70.9167,280.21,81,0,3.6
13,Busselton,AU,2022-05-16 May:35:41,-33.65,115.3333,287.99,65,62,4.67
14,Mataura,NZ,2022-05-16 May:34:26,-46.1927,168.8643,285.64,82,100,1.6
15,Lokosovo,RU,2022-05-16 May:41:18,61.1333,74.8167,284.81,94,100,1.93
16,Plettenberg Bay,ZA,2022-05-16 May:41:19,-34.0527,23.3716,293.55,33,0,3.84
17,Victoria,HK,2022-05-16 May:37:19,22.2855,114.1577,294.4,82,98,3.58
18,Muros,ES,2022-05-16 May:41:19,42.7762,-9.0603,290.42,89,46,7.99
19,Kodiak,US,2022-05-16 May:31:27,57.79,-152.4072,288.88,25,0,5.14
20,San Juan Bautista,PE,2022-05-16 May:41:20,-14.0108,-75.7358,293.92,57,40,1.32
21,Cherskiy,RU,2022-05-16 May:36:12,68.75,161.3,278.64,81,100,5.48
22,Bluff,NZ,2022-05-16 May:34:23,-46.6,168.3333,285.82,81,100,10.98
23,Arraial Do Cabo,BR,2022-05-16 May:35:42,-22.9661,-42.0278,295.54,81,100,3.67
24,Udachnyy,RU,2022-05-16 May:41:21,66.4167,112.4,276.18,74,100,3.02
25,Havoysund,NO,2022-05-16 May:41:21,70.9963,24.6622,275.54,68,100,10.35
26,Khatanga,RU,2022-05-16 May:33:16,71.9667,102.5,273.44,86,98,6.66
27,Phan Thiet,VN,2022-05-16 May:37:33,10.9333,108.1,299.63,85,100,2.26
28,Gat,IL,2022-05-16 May:37:01,31.61,34.7642,293.37,100,100,0.81
29,Caraballeda,VE,2022-05-16 May:41:22,10.6112,-66.8522,301.69,82,75,3.09
30,Knyaze-Volkonskoye,RU,2022-05-16 May:41:22,48.4642,135.4567,287.2,41,92,4.4
31,Pevek,RU,2022-05-16 May:35:48,69.7008,170.3133,273.91,92,100,2.46
32,Airai,TL,2022-05-16 May:41:23,-8.9266,125.4092,292.65,60,10,1.12
33,Port Elizabeth,ZA,2022-05-16 May:38:48,-33.918,25.5701,294.87,77,0,1.54
34,Castro,BR,2022-05-16 May:33:40,-24.7911,-50.0119,281.13,76,3,3.37
35,Port Alfred,ZA,2022-05-16 May:35:47,-33.5906,26.891,294.47,50,0,4.96
36,Dikson,RU,2022-05-16 May:35:52,73.5069,80.5464,273.96,100,100,1.47
37,Qaanaaq,GL,2022-05-16 May:37:03,77.484,-69.3632,266.63,76,45,2.15
38,Rikitea,PF,2022-05-16 May:34:29,-23.1203,-134.9692,298.37,73,16,8.05
39,Nizwa,OM,2022-05-16 May:41:24,22.9333,57.5333,298.33,23,0,0.99
40,Barrow,US,2022-05-16 May:35:47,71.2906,-156.7887,265.16,73,100,5.14
41,Zhuhai,CN,2022-05-16 May:41:24,22.2769,113.5678,293.99,78,40,7.72
42,Provideniya,RU,2022-05-16 May:35:38,64.3833,-173.3,273.35,80,0,2.0
43,Luderitz,NA,2022-05-16 May:37:06,-26.6481,15.1594,296.57,27,2,3.12
44,Fairbanks,US,2022-05-16 May:37:23,64.8378,-147.7164,283.72,59,75,0.51
45,Ushuaia,AR,2022-05-16 May:36:15,-54.8,-68.3,277.96,87,75,7.2
46,Katherine,AU,2022-05-16 May:41:25,-14.4667,132.2667,298.33,57,0,3.6
47,Faanui,PF,2022-05-16 May:32:52,-16.4833,-151.75,299.92,75,88,6.63
48,Lavumisa,SZ,2022-05-16 May:43:09,-27.31,31.892,289.18,96,2,0.68
49,Mount Isa,AU,2022-05-16 May:43:09,-20.7333,139.5,294.02,46,0,4.12
50,Hambantota,LK,2022-05-16 May:34:35,6.1241,81.1185,299.7,85,89,8.38
51,Tuatapere,NZ,2022-05-16 May:34:29,-46.1333,167.6833,285.25,80,100,4.88
52,Male,MV,2022-05-16 May:43:10,4.1748,73.5089,302.12,84,75,11.32
53,Coreau,BR,2022-05-16 May:43:10,-3.5333,-40.6567,296.51,85,84,0.82
54,Nan,TH,2022-05-16 May:43:11,18.8333,100.6667,296.16,94,75,0.0
55,Saldanha,ZA,2022-05-16 May:38:10,-33.0117,17.9442,287.18,52,43,2.11
56,Saint George,US,2022-05-16 May:39:59,37.1041,-113.5841,309.48,6,0,6.69
57,Saskylakh,RU,2022-05-16 May:36:58,71.9167,114.0833,265.54,93,68,2.03
58,Lampazos De Naranjo,MX,2022-05-16 May:43:12,27.0167,-100.5167,310.47,14,9,8.66
59,Hilo,US,2022-05-16 May:34:31,19.7297,-155.09,302.19,82,100,5.14
60,Havelock,US,2022-05-16 May:39:40,34.8791,-76.9013,299.13,82,0,9.26
61,Torbay,CA,2022-05-16 May:30:22,47.6666,-52.7314,280.53,84,100,4.12
62,Murgab,TM,2022-05-16 May:43:12,37.4966,61.9714,293.08,52,0,0.0
63,Georgetown,MY,2022-05-16 May:43:13,5.4112,100.3354,299.11,93,20,1.54
64,Miyako,JP,2022-05-16 May:43:13,39.6367,141.9525,287.62,75,100,2.34
65,Dingle,PH,2022-05-16 May:43:14,10.9995,122.6711,301.32,74,99,0.24
